src;dst
Ben bugün okula gidiyorum.;Bu gün məktəbə gedirəm.
adam;adam
adamla;adamla
affedersin;affedersin
akşamki;axşamkı
akşamlar;axşamlar
ama;amma
ankara'dayken;ankara'dayken
anlaşılan;aydın
artık;artıq
asla;əsla
aslında;əslində
açıkça;açıqca
ağlayan;ağlayan
ağlayanlara;ağlayanlara
balık;balıq
balığı;balığı
bana;mənə
bankaya;banka
bara;bara
bazen;bəzən
bağıran;qışqıran
ben;mən
benden;məndən
beni;məni
benim;mənim
benimle;mənimlə
bile;belə
biliyorum;bilirəm
bilmiyorum;bilmirəm
bininci;mindikləri
bir;bir
bira;pivə
birayı;pivəni
bitirince;bitirincə
biz;biz
bize;bizə
bizim;bizim
bizimki;bizimki
bizimle;bizimlə
bu;bu
bugün;bu gün
bugünkü;bugünkü
bunlar;bunlar
bunu;bunu
buradan;buradan
bütün;bütün
büyük;böyük
da;da
daha;daha
de;də
dilemek;diləmək
dileyince;diləyincə
doksan;doxsan
dokuz;doqquz
domates;pomidor
domatesi;pomidoru
doğduğu;doğulduğu
doğduğum;doğulduğum
doğduğunda;doğulduğunda
doğru;doğru
duo;duo
dün;dünən
düzenlediği;təşkil etdiyi
düzenlediğim;tənzim etdiyim
düzenlediğimiz;təşkil etdiyimiz
eden;edən
edenler;edənlər
ederim;ederim
edince;edincə
ekmek;çörək
ekmeği;çörəyi
elli;əlli
elma;alma
elmayı;almanı
en;ən
erkek;kişi
erkekler;kişilər
eski;köhnə
eskiden;köhnədən
et;olmaq
eti;əti
etkileyen;təsir edən
ettiğim;etdiyim
ettiğini;etdiyini
evet;bəli
eğer;əgər
fark;fərq
gazete;qəzet
gazeteyi;qəzeti
gece;gecə
geceler;gecələr
gelince;gəlincə
genelde;ümumiyyətlə
genellikle;tez-tez
genç;gənc
gençken;gənckən
gerçekleşince;baş verdikdə
gerçekten;həqiqətən
geç;geç
gidelim;gidelim
gittiğimde;getdiyimdə
gittiğinde;getdiyində
giyer;geyər
giyerim;geyərəm
giyeriz;geyər
giyerler;geyərlər
giyersin;geyərsən
giyersiniz;geyər
gri;boz
gönderdiğimiz;göndərdiyimiz
gönderdiğin;göndərdiyin
görüşürüz;görüşərik
güle güle;güle güle
günaydın;günaydın
güneye;cənuba
güzel;gözəl
hala;hələ
hangi;hansı
hangisi;hansı
hariç;xaric
havalimanından;havalimanından
hayvanat;heyvanat
hayır;xeyr
hem;həm
henüz;hələ
hep;həmişə
her;hər
herhangi;hər hansı
hiç;heç
hoş geldin;xoş gəldin
hoş geldiniz;xoş gəlmisiniz
hoşça kal;xoşca qal
hoşça kalın;xoşca qalın
hızlıca;sürətlicə
iki;iki
ikinci;ikinci
ikisi;ikisi
ikisini;ikisini
ile;ilə
ingilizce;ingilizce
iyi;yaxşı
iyi ki;yaxşı ki
iyiyim;yaxşıyam
iç;daxili
içelim;içək
içer;içər
içerim;içirəm
içeriz;içeriz
içersin;içersin
içersiniz;içersiniz
için;üçün
işsizken;işsizken
kabul;qəbul
kadar;qədər
kadın;qadın
kahve;k ahve
kahveyi;qəhvəni
kala;qala
karar;qərar
kaybettiği;itirdiyi
kaybettiğim;itirdiyim
kaybettiğini;itirdiyini
kaçta;neçədə
kere;dəfə
kesinlikle;qətiliklə
kestiğim;kəsdiyim
kez;dəfə
keşke;kaş ki
ki;ki
kimin;kimin
kiraladığımda;kiraladığımda
kiraladığımız;kiraladığımız
kiraladığınız;kiraladığınız
kitabı;kitabı
kitap;kitab
kolay;asan
konuşalım;danışaq
küçük;kiçik
kız;qız
limon;limon
limonu;limonu
lütfen;lütfən
makarna;makaron
makarnayı;makaronu
matematik;riyaziyyat
memnun oldum;memnun oldum
menüyü;menyunu
merhaba;merhaba
meyve;meyvə
meyveyi;meyvəni
mi;mi
milyon;milyon
misin;misin
misiniz;bilərsinizmi
miyiz;bilərikmi
mor;bənövşəyi
mu;mu
musun;musun
musunuz;bilirsinizmi
muyum;bilirəmmi
muyuz;bilirikmi
mü;mü
müdür;müdir
müsün;müsün
müsünüz;görürsünüz
müyüm;müyüm
mı;mı
mısın;mısın
mısınız;qorxmursunuz
nadiren;nadir hallarda
nasıl;necə
nasılsın;nasılsın
nasılsınız;necəsiniz
ne;nə
neden;səbəb
neredeyse;az qala
nereye;hara
o;o
ofise;ofisə
oku;oxu
okur;oxuyur
okurlar;oxuyarlar
okursun;okursun
okursunuz;oxuyursunuz
okurum;oxuyuram
okuruz;oxuyuruq
ol;ol
oldukça;olduqca
olduğumu;olduğumu
olduğumuzu;olduğumuzu
olduğunu;olduğunu
olmak;olmaq
on;on
ona;ona
ondan;ondan
onlar;onlar
onlara;onlara
onların;onların
onu;onu
onun;onun
onunla;onunla
oraya;oraya
otuz;otuz
parka;parka
pasta;tort
pastayı;tortu
pembe;çəhrayı
peynir;pendir
peyniri;pendiri
portakal;portağal
portakalı;portağalı
rağmen;baxmayaraq
rengarenk;rəngarəng
rica;rica
sadece;yalnız
sana;sənə
sandviç;buterbrod
sandığımdan;sandığımdan
sandığımızdan;sandığımızdan
sanki;sanki
sanırım;sanaram
sekiz;səkkiz
seksen;səksən
selam;salam
sen;sən
senden;səndən
seni;səni
senin;sənin
seninle;səninlə
sevdiklerime;sevdiklərimə
sevdiğim;sevdiğim
sevindiğim;sevindiyim
siz;siz
size;sizə
sizi;sizi
sizin;sizin
sonunda;sonunda
soğuk;soyuq
su;su
sultan ahmet;sultan ahmet
suyu;suyu
süt;süd
sütü;südü
sıcak;isti
sık sık;tez-tez
sırasında;əsnasında
tam olarak;tam olaraq
tamam;tamam
tamamen;tamamilə
tane;dənə
tavuk;toyuq
tavuğu;toyuğu
tebrik;təbrik
tekrar;təkrar
tercih;üstünlük
teşekkür;təşəkkür
teşekkürler;təşəkkürlər
turuncu;narıncı
tuz;duz
tuzu;duzu
türkçe;türkçe
ulaştığımda;çatdığımda
ulaştığında;çatdığında
vardı;vardı
ve;və
verince;verincə
veya;və ya
ya;ya
yakında;yaxında
yapalım;edək
yapmadığını;etmədiyini
yarın;sabah
yazan;yazan
yazılan;yazılan
yağ;yağ
yağdığı;yağdığı
yağdığında;yağdığında
yağmıyor;yağmır
yağı;yağı
yaşlı;yaşlı
ye;ye
yedi;yeddi
yemeği;yeməyi
yer;iştirak
yerim;yerim
yeriz;yeyərik
yerler;yerlər
yersin;yeyərsən
yersiniz;yeyəcəksiniz
yeterli;kafi
yetmiş;yetmiş
yine;yenə
yirmi;iyirmi
yiyelim;yeyək
yoksa;yoxsa
yoğurdu;qatığı
yumurta;yumurta
yumurtayı;yumurtanı
yunanistan'dayken;yunanistan'dayken
yüz;üz
zor;çətin
çay;çay
çayı;çayı
çeviren;çevirən
çevrilen;çevrilən
çeyrek;dörddəbir
çilek;çiyələk
çileği;çiyələyi
çocuk;uşaq
çocukken;uşaqkən
çok;çox
çorba;şorba
çorbayı;şorbanı
çoğunlukla;əksəriyyətlə
çünkü;çünki
önce;əvvəl
öpen;öpən
özür;üzr
öğretmenle;müəllimlə
üç;üç
üçteki;üçteki
şanslar;şanslar
şarabı;şərabı
şarap;şərab
şeker;şəkər
şekeri;şəkəri
şimdi;indi
şu;bu
şubattaki;şubat'taki
şunlar;bunlar
şuraya;şuraya
